Procedure ID,Description,Amount
624,OBS PER HOUR            ,96.00
629,RM & BD PRIVATE         ,1987.00
634,PRIVATE RM W/TELE ADJ   ,3160.00
644,RM & BD PRIVATE ADJ     ,1987.00
652,RM & BD SEMI PVT        ,1987.00
655,RM & BD SEMI PVT ADJ    ,1987.00
670,INTERMEDIATE ICU        ,6125.00
671,INTERMEDIATE ICU ADJ    ,6125.00
678,OBS PER HOUR            ,96.00
683,RM & BD ISOLATION       ,1987.00
684,RM & BD PRIVATE         ,1987.00
685,PRIVATE RM W/TELE ADJ   ,3160.00
686,RM & BD ISOLATION ADJ   ,1987.00
687,RM & BD PRIVATE ADJ     ,1987.00
688,PRIVATE RM W/TELE       ,3160.00
691,RM & BD SEMI PRIVATE    ,1987.00
692,RM & BD SEMI PRIVATE ADJ,1987.00
719,INTERMEDIATE ICU        ,6125.00
722,OBS PER HOUR            ,96.00
735,RM & BD ISOLATION       ,2256.00
736,RM & BD PRIVATE         ,1987.00
737,PRIVATE RM W/TELE ADJ   ,3160.00
738,RM & BD ISOLATION ADJ   ,2256.00
739,RM & BD PRIVATE ADJ     ,1987.00
740,PRIVATE RM W/TELE       ,3160.00
745,RM & BD SEMI PRIVATE    ,1987.00
746,RM & BD SEMI PRIVATE ADJ,1987.00
762,INTERMEDIATE ICU        ,6125.00
766,OBS PER HOUR            ,96.00
782,RM & BD ISOLATION       ,1987.00
783,RM & BD PRIVATE         ,1987.00
790,RM & BD ISOLATION ADJ   ,1987.00
791,RM & BD PRIVATE ADJ     ,1987.00
797,RM & BD SEMI PRIVATE    ,1987.00
799,RM & BD SEMI PRIVATE ADJ,1987.00
853,SEMI-PVT RM W/ TELE     ,3160.00
859,INTERMEDIATE ICU        ,6125.00
862,INTERMEDIATE ICU ADJ    ,6125.00
873,DIRECT REFERRAL TO OBS  ,171.00
885,RM & BD SEMI PRIVATE    ,1840.00
887,RM & BD SEMI PRIVATE ADJ,1840.00
889,SEMI-PVT RM W/ TELE ADJ ,2926.00
890,SEMI-PVT RM W/ TELE     ,2926.00
899,INTERMEDIATE ICU        ,5568.00
900,INTERMEDIATE ICU ADJ    ,5568.00
1079,OBS PER HOUR            ,96.00
1099,RM & BD ISOLATION       ,1987.00
1100,RM & BD PRIVATE         ,1987.00
1118,PRIVATE RM W/TELE ADJ   ,3160.00
1120,RM & BD ISOLATION ADJ   ,1987.00
1121,RM & BD PRIVATE ADJ     ,1987.00
1130,PRIVATE RM W/TELE       ,3160.00
1134,RM & BD SEMI PRIVATE    ,1987.00
1135,RM & BD SEMI PRIVATE ADJ,1987.00
1137,SEMI-PVT RM W/ TELE     ,3160.00
1144,OBS PER HOUR            ,96.00
1149,RM & BD ISOLATION       ,1987.00
1151,RM & BD PRIVATE         ,1987.00
1159,PRIVATE RM W/TELE ADJ   ,3160.00
1161,RM & BD ISOLATION ADJ   ,1987.00
1162,RM & BD PRIVATE ADJ     ,1987.00
1173,PRIVATE RM W/TELE       ,3160.00
1174,RM & BD SEMI PRIVATE    ,1987.00
1185,RM & BD SEMI PRIVATE ADJ,1987.00
1186,SEMI-PVT RM W/ TELE ADJ ,3160.00
1187,SEMI-PVT RM W/ TELE     ,3160.00
1195,OBS PER HOUR            ,96.00
1252,RM & BD ISOLATION       ,1987.00
1253,RM & BD PRIVATE         ,1987.00
1254,PRIVATE RM W/TELE ADJ   ,3160.00
1255,RM & BD ISOLATION ADJ   ,1987.00
1273,RM & BD PRIVATE ADJ     ,1987.00
1274,PRIVATE RM W/TELE       ,3160.00
1285,RM & BD SEMI PRIVATE    ,1987.00
1288,RM & BD SEMI PRIVATE ADJ,1987.00
1294,INTERMEDIATE CCU        ,4155.00
1298,INTERMEDIATE CCU ADJ    ,4155.00
1537,OBS PER HOUR            ,96.00
1578,RM & BD SEMI PRIVATE    ,1990.00
1586,RM & BD SEMI PRIVATE ADJ,1990.00
1598,INTERMEDIATE ICU ADJ    ,6125.00
1599,INTERMEDIATE ICU        ,6125.00
1839,OBS PER HOUR            ,96.00
1858,RM & BD SEMI PRIVATE    ,1987.00
1859,RM & BD SEMI PRIVATE ADJ,1987.00
1878,INTERMEDIATE CCU ADJ    ,4155.00
1881,INTERMEDIATE CCU        ,4155.00
2376,OBS W/TELE PER HR       ,96.00
2384,INTERMEDIATE ICU        ,6125.00
2385,INTERMEDIATE ICU ADJ    ,6125.00
2386,INTERMEDIATE CCU        ,4155.00
2387,INTERMEDIATE CCU ADJ    ,4155.00
2527,RM & BD PRIVATE         ,1987.00
2532,RM & BD PRIVATE ADJ     ,2256.00
2542,RM & BD SEMI PRIVATE    ,1987.00
2543,RM & BD SEMI PRIVATE ADJ,1987.00
2549,SURGICAL ICU ADJ        ,8109.00
2551,SURGICAL ICU            ,8109.00
2561,INTERMEDIATE ICU ADJ    ,6125.00
2562,INTERMEDIATE ICU        ,6125.00
2568,INTERMEDIATE CCU ADJ    ,6125.00
2569,INTERMEDIATE CCU        ,6125.00
2619,INTERMEDIATE ICU ADJ    ,6125.00
2620,INTERMEDIATE ICU        ,6125.00
2630,OBS PER HOUR            ,96.00
2650,RM & BD SEMI PRIVATE    ,1987.00
2652,RM & BD SEMI PRIVATE ADJ,1987.00
2653,SEMI-PVT RM W/ TELE ADJ ,3160.00
2654,SEMI-PVT RM W/ TELE     ,3160.00
2665,MEDICAL ICU             ,8109.00
2666,MEDICAL ICU ADJ         ,8109.00
2668,INTERMEDIDATE ICU ADJ   ,6125.00
2669,INTERMEDIATE ICU        ,6125.00
2675,INTERMEDIATE CCU ADJ    ,4155.00
2677,INTERMEDIATE CCU        ,4155.00
2699,ICU ADJ                 ,8109.00
2701,ICU                     ,8109.00
2746,INTERMEDIATE CCU ADJ    ,6125.00
2749,INTERMEDIATE CCU        ,6125.00
2896,OBS PER HOUR            ,96.00
