Procedure ID,,Description,Amount
624,,OBS PER HOUR            ,96
629,,RM & BD PRIVATE         ,1987
634,,PRIVATE RM W/TELE ADJ   ,3160
644,,RM & BD PRIVATE ADJ     ,1987
652,,RM & BD SEMI PVT        ,1987
655,,RM & BD SEMI PVT ADJ    ,1987
670,,INTERMEDIATE ICU        ,6125
671,,INTERMEDIATE ICU ADJ    ,6125
678,,OBS PER HOUR            ,96
683,,RM & BD ISOLATION       ,1987
684,,RM & BD PRIVATE         ,1987
685,,PRIVATE RM W/TELE ADJ   ,3160
686,,RM & BD ISOLATION ADJ   ,1987
687,,RM & BD PRIVATE ADJ     ,1987
688,,PRIVATE RM W/TELE       ,3160
691,,RM & BD SEMI PRIVATE    ,1987
692,,RM & BD SEMI PRIVATE ADJ,1987
719,,INTERMEDIATE ICU        ,6125
722,,OBS PER HOUR            ,96
735,,RM & BD ISOLATION       ,2256
736,,RM & BD PRIVATE         ,1987
737,,PRIVATE RM W/TELE ADJ   ,3160
738,,RM & BD ISOLATION ADJ   ,2256
739,,RM & BD PRIVATE ADJ     ,1987
740,,PRIVATE RM W/TELE       ,3160
745,,RM & BD SEMI PRIVATE    ,1987
746,,RM & BD SEMI PRIVATE ADJ,1987
762,,INTERMEDIATE ICU        ,6125
766,,OBS PER HOUR            ,96
782,,RM & BD ISOLATION       ,1987
783,,RM & BD PRIVATE         ,1987
790,,RM & BD ISOLATION ADJ   ,1987
791,,RM & BD PRIVATE ADJ     ,1987
797,,RM & BD SEMI PRIVATE    ,1987
799,,RM & BD SEMI PRIVATE ADJ,1987
853,,SEMI-PVT RM W/ TELE     ,3160
859,,INTERMEDIATE ICU        ,6125
862,,INTERMEDIATE ICU ADJ    ,6125
873,,DIRECT REFERRAL TO OBS  ,171
885,,RM & BD SEMI PRIVATE    ,1840
887,,RM & BD SEMI PRIVATE ADJ,1840
889,,SEMI-PVT RM W/ TELE ADJ ,2926
890,,SEMI-PVT RM W/ TELE     ,2926
899,,INTERMEDIATE ICU        ,5568
900,,INTERMEDIATE ICU ADJ    ,5568
1079,,OBS PER HOUR            ,96
1099,,RM & BD ISOLATION       ,1987
1100,,RM & BD PRIVATE         ,1987
1118,,PRIVATE RM W/TELE ADJ   ,3160
1120,,RM & BD ISOLATION ADJ   ,1987
1121,,RM & BD PRIVATE ADJ     ,1987
1130,,PRIVATE RM W/TELE       ,3160
1134,,RM & BD SEMI PRIVATE    ,1987
1135,,RM & BD SEMI PRIVATE ADJ,1987
1137,,SEMI-PVT RM W/ TELE     ,3160
1144,,OBS PER HOUR            ,96
1149,,RM & BD ISOLATION       ,1987
1151,,RM & BD PRIVATE         ,1987
1159,,PRIVATE RM W/TELE ADJ   ,3160
1161,,RM & BD ISOLATION ADJ   ,1987
1162,,RM & BD PRIVATE ADJ     ,1987
1173,,PRIVATE RM W/TELE       ,3160
1174,,RM & BD SEMI PRIVATE    ,1987
1185,,RM & BD SEMI PRIVATE ADJ,1987
1186,,SEMI-PVT RM W/ TELE ADJ ,3160
1187,,SEMI-PVT RM W/ TELE     ,3160
1195,,OBS PER HOUR            ,96
1252,,RM & BD ISOLATION       ,1987
1253,,RM & BD PRIVATE         ,1987
1254,,PRIVATE RM W/TELE ADJ   ,3160
1255,,RM & BD ISOLATION ADJ   ,1987
1273,,RM & BD PRIVATE ADJ     ,1987
1274,,PRIVATE RM W/TELE       ,3160
1285,,RM & BD SEMI PRIVATE    ,1987
1288,,RM & BD SEMI PRIVATE ADJ,1987
1294,,INTERMEDIATE CCU        ,4155
1298,,INTERMEDIATE CCU ADJ    ,4155
1537,,OBS PER HOUR            ,96
1578,,RM & BD SEMI PRIVATE    ,1990
1586,,RM & BD SEMI PRIVATE ADJ,1990
1598,,INTERMEDIATE ICU ADJ    ,6125
1599,,INTERMEDIATE ICU        ,6125
1839,,OBS PER HOUR            ,96
1858,,RM & BD SEMI PRIVATE    ,1987
1859,,RM & BD SEMI PRIVATE ADJ,1987
1878,,INTERMEDIATE CCU ADJ    ,4155
1881,,INTERMEDIATE CCU        ,4155
2376,,OBS W/TELE PER HR       ,96
2384,,INTERMEDIATE ICU        ,6125
2385,,INTERMEDIATE ICU ADJ    ,6125
2386,,INTERMEDIATE CCU        ,4155
2387,,INTERMEDIATE CCU ADJ    ,4155
2527,,RM & BD PRIVATE         ,1987
2532,,RM & BD PRIVATE ADJ     ,2256
2542,,RM & BD SEMI PRIVATE    ,1987
2543,,RM & BD SEMI PRIVATE ADJ,1987
2549,,SURGICAL ICU ADJ        ,8109
2551,,SURGICAL ICU            ,8109
2561,,INTERMEDIATE ICU ADJ    ,6125
2562,,INTERMEDIATE ICU        ,6125
2568,,INTERMEDIATE CCU ADJ    ,6125
2569,,INTERMEDIATE CCU        ,6125
2619,,INTERMEDIATE ICU ADJ    ,6125
2620,,INTERMEDIATE ICU        ,6125
2630,,OBS PER HOUR            ,96
2650,,RM & BD SEMI PRIVATE    ,1987
2652,,RM & BD SEMI PRIVATE ADJ,1987
2653,,SEMI-PVT RM W/ TELE ADJ ,3160
2654,,SEMI-PVT RM W/ TELE     ,3160
2665,,MEDICAL ICU             ,8109
2666,,MEDICAL ICU ADJ         ,8109
2668,,INTERMEDIDATE ICU ADJ   ,6125
2669,,INTERMEDIATE ICU        ,6125
2675,,INTERMEDIATE CCU ADJ    ,4155
2677,,INTERMEDIATE CCU        ,4155
2699,,ICU ADJ                 ,8109
2701,,ICU                     ,8109
2746,,INTERMEDIATE CCU ADJ    ,6125
2749,,INTERMEDIATE CCU        ,6125
2896,,OBS PER HOUR            ,96
2899,,DIRECT REFERRAL TO OBS  ,658
2900,,RM & BD PRIVATE         ,1987
2903,,RM & BD PRIVATE OB      ,1337
2906,,RM & BD ISOLATION ADJ   ,1441
2907,,RM & BD PRIVATE OB ADJ  ,1493
3088,,AU EVO PO AND/OR CNS COM,424
3090,,NURSERY R&B LV 1        ,814
3093,,CIRCUMCISION            ,5342
3235,,SHRT LATENCY SOMA UP LMB,1226
3236,,SHRT LATENCY SOMA LW LMB,1226
3238,,EEG NONINTRACRANIAL SURG,879
3241,,ELECTRO STI BRAIN INT HR,1244
3242,,ELECTRO STIM BRAIN AD ON,998
3312,,CARDIOVERSION EXTERNAL  ,2642
3358,,SPECIAL PROCEDURE       ,6835
3372,,INJ BLOOD PATCH         ,8545
3374,,PACU FIRST 60 MIN       ,7765
3375,,PACU ADDL 30 MIN        ,470
3384,,FETAL NONSTRESS TEST    ,864
3391,,IV HYDRAT INIT UP TO 1HR,773
3392,,IV HYDRAT EA ADD HR     ,166
3393,,IV INITIAL UP TO 1 HOUR ,1030
3394,,IV EACH ADD HOUR        ,344
3395,,IV ADDL SEQ INF UP TO 1H,166
3396,,IV CONCURRENT INFUSION  ,339
3401,,INJECTION IM OR SQ      ,550
3407,,IVP SINGLE/INITIAL DRUG ,398
3408,,IVP SINGLE/INITIAL DRUG ,314
3411,,IVP EA ADD SEQ NEW DRUG ,396
3412,,IVP EA ADD SEQ NEW DRUG ,294
3414,,IVP EA ADD SEQ SAME DRUG,372
3444,,OB EMER DEPT LEVEL 1    ,851
3449,,OB EMER DEPT LEVEL 2    ,1162
3453,,OB EMER DEPT LEVEL 3    ,1471
3454,,OB EMER DEPT LEVEL 4    ,1779
3460,,OB EMER DEPT LEVEL 5    ,2167
3465,,C-SECTION FIRST 60 MIN  ,11602
3467,,C-SECTION ADDL 30 MIN   ,2358
3468,,SURGERY FIRST 60 MIN    ,2428
3471,,SURGERY ADDL 30 MIN     ,1212
3476,,EXTERNAL VERSION        ,5470
3485,,OB ER PROC LEVEL 1      ,933
3492,,RECOVERY FIRST 60 MIN   ,3359
3493,,RECOVERY ADDL 30 MIN    ,2478
3494,,DELIVERY                ,4036
3495,,AMNIOCENTESIS           ,1421
3497,,FETAL STRESS TEST       ,1253
3517,,VARICELLA-ZOSTER IG IM  ,3955
3521,,HEPA VAC ADULT IM       ,703
3527,,FLUVAC IIV3 PF 0.5ML IM ,119
3537,,RABIES VAC IM           ,2660
3548,,PPSV23 VAC IMSQ         ,490
3588,,ABATACEPT 250 MG INJ    ,7047
3592,,ABCIXIMAB 10 MG INJ     ,10877
3595,,ACETYLCYSTEIN 6000MG INJ,1796
3598,,ACYCLOVIR 500 MG INJ    ,994
3604,,ADALIMUMAB 40 MG INJ    ,10325
3629,,AMIFOSTINE 500 MG INJ   ,4573
3632,,METHYLDOPATE 250 MG INJ ,75
3642,,ALP 1 PRO INHIB HUM 10MG,32
3654,,AMIKACIN SULFATE 500 MG ,125
3656,,AMINOPHYLLIN 500 MG INJ ,83
3659,,AMINOPHYLLIN UP TO 250MG,64
3673,,AMIODARONE 450 MG INJ   ,3890
3679,,AMIODARONE 150 MG INJ   ,1238
3707,,AMPHOTERICN B 50 MG INJ ,291
3729,,AMPHOT B LIPOSOME 50 MG ,1894
3741,,AMPICILLIN 2 G INJ      ,136
3743,,AMPICILLIN 1 G INJ      ,132
3755,,AMPICIL/SULBAC 3 G INJ  ,193
3770,,ANIDULAFUNGIN 50 MG INJ ,612
3772,,HYDRALAZINE UP TO 20 MG ,92
3782,,AZITHROMYCIN 500 MG INJ ,272
3783,,ATROPINE 0.4 MG INJ     ,45
3784,,ATROPINE 1 MG INJ       ,48
3787,,BACLOFEN 10 MG INJ      ,808.35
3820,,BENZTROPINE 2 MG INJ    ,249
3852,,BIVALIRUDIN 250 MG INJ  ,6183
3855,,ONABOTULINUMTOXA 100 U  ,7083
3865,,BUTORPHANOL 2 MG INJ    ,125
3869,,BUTORPHANOL 1 MG INJ    ,24
3877,,CALCITONIN SALMN TO 400U,14157
3883,,CALCITRIOL 1 MCG INJ    ,221
3891,,CASPOFUNGIN 50 MG INJ   ,3967
3892,,CASPOFUNGIN 70 MG INJ   ,5554
3897,,LEUCOVORIN CA 50 MG INJ ,306
3921,,MEPIVACAIN 1% 30 ML INJ ,32
3924,,MEPIVACAIN 2% 20 ML INJ ,33
3930,,CEFAZOLIN 1 G VL        ,45
3938,,CEFEPIME HCL 1 G VL     ,303
3940,,CEFEPIME HCL 2 G VL     ,585
3942,,CEFOXITIN 1 G INJ       ,141
3947,,CEFOXITIN 2 G INJ       ,89
3949,,CEFTRIAXONE 250 MG VL   ,68
3950,,CEFTRIAXONE 1 G VL      ,201
3953,,CEFTRIAXONE 2 G VL      ,388
3958,,CEFUROXIME 1.5 G VL     ,199
3960,,CEFOTAXIME 1 G VL       ,92
3965,,BETAMETHSN 6 MG INJ     ,79
3972,,CAFFEINE CITRAT 60MG INJ,400
3991,,CEFTAZIDIME 1 G BAG     ,280
3992,,CEFTAZIDIME 2 G BAG     ,515
3993,,CEFTAZIDIME 1 G VL      ,206
3994,,CEFTAZIDIME 2 G VL      ,92
3996,,CLONIDINE HCL 1 MG INJ  ,1105
4019,,CILASTATN/IMIPINM 250 MG,298
4031,,CILASTATN/IMIPINM 500 MG,567
4040,,CIPROFLOXACIN 200 MG    ,218
4049,,CIPROFLOXACIN 400 MG BAG,516
4050,,CIPROFLOXACIN 200 MG BAG,106
4057,,COLISTIMETHATE 150MG INJ,699
4067,,COSYNTROPIN 0.25 MG INJ ,1214
4071,,DAPTOMYCIN 500 MG INJ   ,2694
4166,,EPOTN ALFA 10000 U NESRD,1865
4175,,EPOTN ALFA 40000 U NESRD,7908
4176,,EPOTN ALFA 1000 U NESRD ,188
4195,,DECITABINE 50 MG INJ    ,12803
4199,,DEFEROX MESY 500 MG INJ ,325
4270,,DEXAMETH NA PHOS 4 MG   ,45
4275,,DEXAMETH NA PHOS 10 MG  ,29
4277,,DIHYDROERGOT 1 MG INJ   ,804
4279,,ACETAZOLAMIDE TO 500 MG ,578
4283,,DIG IMMUNE FAB PER VIAL ,18122
4289,,PHENYTOIN 250 MG VL     ,45
4290,,PHENYTOIN 100 MG VL     ,45
4314,,HYDROMORPH 50 MG INJ    ,1014
4323,,DEXRAZOXANE 500 MG INJ  ,2136
4330,,CHLOROTHIAZIDE 500MG INJ,2569
4331,,DMSO 50% 50 ML INJ      ,1191
4339,,DOBUTAMINE 250 MG VL    ,68
4359,,DOPAMINE 400 MG BAG     ,475
4362,,DOPAMINE 400 MG VL      ,324
4376,,DOPAMINE 200 MG VL      ,162
4382,,DORIPENEM 500 MG INJ    ,405
4391,,EPOPROSTENOL 0.5 MG INJ ,511
4397,,EPTIFIBATIDE 75 MG VL   ,3639
4399,,EPTIFIBATIDE 20 MG VL   ,981
4403,,ERGONOV MAL TO 0.2MG INJ,91
4407,,ERTAPENEM SOD 1 G VL    ,812
4410,,ERYTHRO LACTO 500 MG INJ,361
4412,,ESTROGEN CONJ 25 MG INJ ,1565
4414,,ETHANOLAMINE OLEAT 100MG,2771
4430,,FLUCONAZOLE 400 MG BAG  ,2931
4433,,FLUCONAZOLE 200 MG BAG  ,2104
4437,,FOMEPIZOLE 1500 MG INJ  ,12646
4896,,IVIG OCTAGAM 5 G        ,5521
4944,,GANCICLOVIR 500 MG INJ  ,743
4976,,GLUCAGON 1 MG INJ       ,1213
4978,,GRANISETRON 1000 MCG INJ,2201
4990,,HEPARIN 1000 U INJ      ,49
4994,,HEPARIN 5000 U INJ      ,49
4996,,HEPARIN 10000 U INJ     ,42
5075,,ENOXAPARIN 40 MG INJ    ,441
5077,,ENOXAPARIN 60 MG INJ    ,643
5078,,ENOXAPARIN 80 MG INJ    ,851
5079,,ENOXAPARIN 100 MG INJ   ,1059
5108,,ENOXAPARIN 30 MG INJ    ,327
5146,,ENOXAPARIN 120 MG INJ   ,1270
5147,,ENOXAPARIN 150 MG INJ   ,1584
5190,,FONDAPARINUX 2.5 MG INJ ,635
5256,,FONDAPARINUX 7.5 MG INJ ,1904
5279,,TETANUS IG HUMAN 250 U  ,2526
5321,,HYDROCORT SUCC 100MG INJ,62
5323,,HYDROCORT SUCC 250MG INJ,104
5324,,HYDROCORT SUCC 500MG INJ,204
5327,,DIAZOXIDE UP TO 300 MG  ,1764
5349,,IBUTILIDE FUM 1 MG INJ  ,4360
5357,,INFLIXIMAB 100 MG INJ   ,6934
5446,,IRON DEXTRAN 100 MG INJ ,456
5465,,IRON SUCROSE 100 MG INJ ,851
5544,,KANAMYCIN 1 G INJ       ,102
5574,,KETOROLAC 30 MG INJ     ,113
5609,,KETOROLAC 60 MG INJ     ,225
5611,,FUROSEMIDE 40 MG INJ    ,45
5612,,FUROSEMIDE 100 MG INJ   ,46
5623,,LEPIRUDIN 50 MG         ,2562
5626,,LEUPRO DEPOT 3.75 MG INJ,8310
5627,,LEUPRO DEPOT 11.25MG INJ,24315
5630,,LEVETIRACETAM 500 MG INJ,483
5634,,LEVOCARNITINE 1 G INJ   ,332
5647,,LEVOFLOXACIN 750 MG BAG ,1022
5650,,LEVOFLOXACIN 500 MG BAG ,770
5796,,LINEZOLID 600 MG INJ    ,1315
5949,,LORAZEPAM 2 MG INJ      ,85
6179,,MEROPENEM 1 G INJ       ,681
6183,,MEROPENEM 500 MG INJ    ,67
6246,,MICAFUNGIN 100 MG INJ   ,2348
6352,,MIDAZOLAM 2 MG INJ      ,50
6357,,MIDAZOLAM 5 MG INJ      ,91
6381,,MILRINONE LAC 20 MG BAG ,1256
6382,,MILRINONE LAC 20 MG INJ ,1256
6533,,NALOXONE 2 MG INJ       ,185
6570,,NESIRITIDE 1.5 MG INJ   ,7539
6759,,OCTREOTID ND SQIV 100MCG,271
6762,,OCTREOTID ND SQIV 500MCG,1349
6785,,OPRELVEKIN 5 MG         ,4147
6844,,ONDANSETRON 4 MG VL     ,367
6858,,PAMIDRONATE 30 MG INJ   ,3794
6872,,PARICALCITOL 5 MCG INJ  ,60
6897,,PARICALCITOL 2 MCG INJ  ,137
6908,,PENTOBARBITAL 50 MG INJ ,476
6953,,PIP SOD/TAZ 2.25 G VL   ,42
6954,,PIP SOD/TAZ 3.375 G VL  ,56
6955,,PIP SOD/TAZ 4.5 G VL    ,72
7074,,DESMOPRESSIN 4 MCG INJ  ,471
7147,,OXACILLIN 1 G VIAL      ,121
7148,,OXACILLIN 2 G VIAL      ,242
7199,,PROTAMINE 50 MG INJ     ,105
7201,,PROTAMINE 250 MG INJ    ,286
7206,,PRALIDOXIME UP TO 1 G   ,1479
7207,,PHENTO MESY UP TO 5 MG  ,435
7212,,METOCLOPRAMIDE TO 10 MG ,45
7220,,QUINUPRN/DALFOPRN 500 MG,1847
7270,,REGADENOSON 0.4 MG INJ  ,2539
7273,,RHIG HUMN MINIDOSE 50MCG,393
7275,,RHIG HMN FULLDOSE 300MCG,1500
7290,,RHO IMM GLOB IV 5000 IU ,13658
7291,,RHO IMM GLOB IV 100 IU  ,632
7420,,RISPERD CONSTA 25 MG INJ,2870
7422,,RISPER CONSTA 37.5MG INJ,4304
7427,,RISPERD CONSTA 50 MG INJ,5739
7438,,RISPER CONSTA 12.5MG INJ,1440
7444,,ROPIVACAINE 200 MG INJ  ,934
7445,,ROPIVACAINE 100 MG INJ  ,288
7449,,SINCALIDE 5 MCG INJ     ,887
7450,,SARGRAMOSTIM 250 MCG INJ,937
7460,,NA FERRIC GLUCON 62.5 MG,539
7478,,METHYLPRED SUCC 500 MG  ,162
7479,,METHYLPRED SUCC 1 G INJ ,288
7564,,ALTEPLASE RECOMB 2 MG   ,862
7566,,ALTEPLASE RECOMB 50 MG  ,9964
7569,,ALTEPLASE RECOMB 100 MG ,19908
7586,,FENTANYL CIT 0.25 MG INJ,110
7587,,FENTANYL CIT 1 MG INJ   ,114
7591,,FENTANYL CIT 0.1 MG INJ ,50
7608,,SUMATRIPTAN SUCC 6MG INJ,974
7611,,TENECTEPLASE 50 MG INJ  ,14946
7619,,THYROTROPIN ALPHA 0.9 MG,12470
7627,,TIGECYCLINE 50 MG INJ   ,840
7647,,TIROFIBAN 12.5 MG INJ   ,2829
7674,,TOBRAMYCIN 1.2 G VIAL   ,3650
7691,,TRIAMCINOLN ACE 40MG INJ,309
7718,,DIAZEPAM 10 MG INJ      ,107
7728,,UROKINASE 250000 U INJ  ,7305
7746,,VANCOMYCIN 500 MG VL    ,75
7749,,VANCOMYCIN 1 G VL       ,29
7773,,THIAMINE 100 MG INJ     ,46
7781,,PYRIDOXINE 100 MG INJ   ,90
7790,,VORICONAZOLE 200 MG INJ ,1096
7792,,HYALURONIDASE UP TO 150U,288
7802,,MAG SULFATE 2G INJ      ,204
7804,,MAG SULFATE 1G INJ      ,56
7808,,POTASS CL 20 MEQ VL     ,45
7814,,POTASS CL 40 MEQ VL     ,45
7851,,ZIPRASIDONE 20 MG VL    ,216
7887,,FACTOR VIIA 1 MG INJ    ,12291
7888,,FACTOR VIIA 2 MG INJ    ,24583
7892,,FACTOR VIIA 5 MG INJ    ,61456
7946,,FAC VIII RECOMB 1U NOS  ,6
7956,,FAC IX RECOMB NOS PER IU,5
7958,,ANTITHROMBIN III PER IU ,23
7964,,AZATHIOPRINE 50 MG PO   ,41
7965,,AZATHIOPRINE 100 MG INJ ,1038
7966,,CYCLOSPORINE 100 MG PO  ,91
7969,,CYCLOSPORINE 100 MG PO  ,163
7970,,CYCLOSP MOD 100 MG PO   ,129
7972,,CYCLOSP MOD 100 MG PO   ,126
7977,,LYM IG EQUINE 250 MG    ,5170
8031,,TACROLIMUS IMM 1 MG PO  ,91
8055,,CYCLOSP MOD 25 MG PO    ,39
8056,,CYCLOSPORIN 250 MG INJ  ,187
8070,,MYCOPHENOLATE 250 MG PO ,70
8072,,MYCOPHENOLATE 500 MG PO ,133
8082,,SIROLIMUS 1 MG PO       ,31
8087,,SIROLIMUS 1 MG PO       ,163
8090,,TACROLIMUS 5 MG INJ     ,480.75
8092,,INH METHACHOLINE 1 MG   ,13
8131,,BUSULFAN 2 MG PO        ,60
8154,,CAPECITABINE 500 MG PO  ,265
8155,,CYCLOPHOSPHAMIDE 25MG PO,76
8156,,CYCLOPHOSPHAMIDE 50MG PO,105
8157,,DEXAMETHASONE 4 MG PO   ,23
8158,,DEXAMETHASONE 0.5 MG PO ,16
8168,,MELPHALAN 2 MG PO       ,113
8169,,METHOTREXATE 2.5 MG PO  ,116
8179,,DOXORUBICIN 10 MG INJ   ,107
8194,,DOXORUBICIN 50 MG INJ   ,181
8227,,ALDESLEUKIN SINGLE VIAL ,17927
8244,,AZACITIDINE 100 MG INJ  ,3333
8253,,BEVACIZUMAB 100 MG INJ  ,5746
8265,,BLEOMYCIN SULF 15 U INJ ,2404
8270,,VELCADE 3.5 MG INJ      ,8706
8278,,CARBOPLATIN 50 MG INJ   ,186
8301,,CARMUSTINE 100 MG INJ   ,1406
8310,,CETUXIMAB 100 MG INJ    ,5630
8322,,CISPLATIN 10MG INJ      ,46
8417,,CLADRIBINE 10 MG INJ    ,4977
8534,,CYTARABINE 100 MG INJ   ,60
8551,,DACTINOMYCIN 0.5 MG INJ ,3558
8555,,DAUNORUBICIN 20 MG INJ  ,659
8561,,DOCETAXEL 20 MG INJ     ,3009
8598,,ETOPOSIDE 10 MG INJ     ,19
8625,,FLUDARABINE PHOS 50MGINJ,3138
8626,,FLUOROURACIL 500 MG INJ ,45
8627,,FLOXURIDINE 500 MG INJ  ,1281
8631,,GEMCITBIN NOS 200 MG INJ,1211
8705,,IFOSFAMIDE 1 G INJ      ,1402
8709,,MESNA 200 MG INJ        ,137
8750,,MESNA 200 MG INJ        ,65
8754,,IDARUBICIN HCL 5 MG INJ ,3097
